Rollno,Name,Gender,Branch,Attendence,Phy_marks,Che_marks,EM1_marks,PPS_marks,SME_marks,Total Marks,Percentage
1,Mohammed,M,Comp,72.0,62.0,98.0,63.0,89.0,36.0,368,73.6
2,Reyansh,M,IT,58.0,62.0,83.0,83.0,88.0,34.0,350,70.0
3,Aarav,M,IT,57.0,-20.0,100.0,,56.0,36.0,192,38.4
4,Atharv,M,IT,60.0,89.0,83.0,70.0,33.0,23.0,298,59.6
5,Vivaan,M,Comp,85.0,90.0,,78.0,23.0,56.0,247,49.4
6,Advik,M,ENTC,94.0,99.0,84.0,100.0,56.0,99.0,438,87.6
7,Ansh,M,ENTC,98.0,88.0,95.0,81.0,78.0,78.0,420,84.0
8,Ishaan,M,ENTC,75.0,66.0,51.0,83.0,-99.0,76.0,192,38.4
9,Dhruv,M,ENTC,63.0,,,97.0,56.0,55.0,208,41.6
10,Siddharth,M,ENTC,96.0,67.0,78.0,95.0,,98.0,338,67.6
11,Vihaan,M,ENTC,82.0,54.0,70.0,88.0,55.0,56.0,323,64.6
12,,M,IT,75.0,64.0,67.0,71.0,66.0,87.0,355,71.0
13,Aarush,M,IT,67.0,56.0,81.0,,90.0,55.0,282,56.4
14,Leo,M,IT,98.0,-34.0,70.0,94.0,77.0,66.0,273,54.6
15,Maryam,F,IT,64.0,87.0,60.0,90.0,65.0,90.0,392,78.4
16,Saanvi,F,Comp,66.0,90.0,95.0,67.0,99.0,77.0,428,85.6
17,Zaranew,F,Comp,93.0,54.0,,75.0,90.0,65.0,284,56.8
18,Inaya,F,Comp,74.0,67.0,93.0,93.0,87.0,99.0,439,87.8
19,Aarya,F,Comp,72.0,88.0,84.0,81.0,80.0,45.0,378,75.6
20,,F,Comp,53.0,76.0,81.0,93.0,65.0,23.0,338,67.6
